Food Code,Food Name,Rasa,Guna (Physical),Guna (Mental),Virya,Vipaka,Prabhava,Vata Effect,Pitta Effect,Kapha Effect
ASC037,Egg and tomato sandwich,amla/madhura,guru/snigdha,tamovardhan,ushna,madhura,balanced protein,neutral,neutral,increase
ASC038,Sweet open sandwich,madhura,laghu/snigdha,sattvavardhan,sheeta,madhura,dessert style,decrease,decrease,increase
ASC039,Mushroom and cheese sandwich,tikta/madhura,guru/snigdha,sattvavardhan,sheeta,madhura,umami snack,decrease,decrease,neutral
ASC040,Cheese and tomato sandwich (toasted),amla/madhura,ugru/snigdha,sattvavardhan,ushna,amla,warm light snack,neutral,decrease,increase
ASC041,Pea potato sandwich (toasted),madhura/katu,laghu/snigdha,sattvavardhan,sheeta,madhura/katu,light nourishing,decrease,neutral,increase
ASC042,Paneer pea sandwich (toasted),madhura,guru/snigdha,sattvavardhan,sheeta,madhura,protein rich,decrease,neutral,increase
ASC043,Chicken sandwich (toasted),katu,laghu/ushna,rajovardhan,ushna,katu,protein energizing,increase,increase,decrease
ASC044,Pea keema sandwich (toasted),madhura/katu,laghu/snigdha,rajovardhan,ushna,katu,energizing snack,increase,neutral,increase
ASC045,Classic club sandwich,madhura/katu,guru/snigdha,rajovardhan,ushna,katu,hearty snack,increase,neutral,decrease
ASC046,Sesame toast,madhura/katu,guru/snigdha,sattvavardhan,ushna,katu,nutty crisp,decrease,neutral,increase
ASC047,Cracked wheat porridge,madhura,guru/snigdha,sattvavardhan,sheeta,madhura,nourishing breakfast,decrease,decrease,increase
ASC048,Semolina porridge,madhura,guru/snigdha,sattvavardhan,sheeta,madhura,comforting breakfast,decrease,decrease,increase
ASC050,Oatmeal Porridge,madhura,guru/snigdha,sattvavardhan,sheeta,madhura,filling breakfast,decrease,neutral,increase
ASC051,Cornflakes with milk,madhura,guru/snigdha,sattvavardhan,sheeta,madhura,easy breakfast,decrease,neutral,increase
ASC052,Rice flakes,madhura,guru/snigdha,sattvavardhan,sheeta,madhura,light breakfast,decrease,neutral,increase
ASC053,Wheat flakes,madhura,guru/snigdha,sattvavardhan,sheeta,madhura,nutritional flakes,decrease,neutral,increase
ASC054,Murmura (Puffed rice),madhura,laghu/ruksha,sattvavardhan,sheeta,madhura,light crunchy,decrease,neutral,increase
ASC055,Puffed wheat,madhura,laghu/ruksha,sattvavardhan,sheeta,madhura,light crunchy,decrease,neutral,increase
ASC056,Boiled egg,madhura,guru/snigdha,rajovardhan,ushna,madhura,protein rich,neutral,neutral,increase
ASC057,Fried Egg,madhura/katu,guru/ushna,rajovardhan,ushna,katu,energizing protein,increase,increase,decrease
ASC058,Poached egg,madhura,guru/snigdha,rajovardhan,sheeta,madhura,light protein,neutral,neutral,increase
ASC059,Scrambled egg,madhura/katu,guru/snigdha,rajovardhan,ushna,katu,protein rich energizing,increase,increase,decrease
ASC060,Baked egg,madhura,guru/snigdha,rajovardhan,sheeta,madhura,light protein,neutral,neutral,increase
ASC061,Plain omelette/omlet,madhura,guru/snigdha,tamovardhan,sheeta,madhura,light protein,neutral,decrease,increase
ASC062,Stuffed egg omelette/omlet,madhura/katu,guru/snigdha,rajovardhan,ushna,katu,protein rich energizing,increase,increase,decrease
ASC063,Pancake,madhura,guru/snigdha,sattvavardhan,sheeta,madhura,light sweet,decrease,neutral,increase
ASC064,Keema pancake,katu,laghu/ushna,rajovardhan,ushna,katu,protein heavy,increase,increase,decrease
ASC065,Vegetable pancake,tikta/madhura,laghu/snigdha,sattvavardhan,sheeta,madhura,light savory,decrease,decrease,increase
ASC066,Jam and fruit pancake,madhura,guru/snigdha,sattvavardhan,sheeta,madhura,sweet energizing,decrease,neutral,increase
ASC067,Khoa and coconut pancake,madhura,guru/snigdha,sattvavardhan,sheeta,madhura,sweet nourishing,decrease,neutral,increase
ASC068,Brown stock,katu,laghu/ushna,rajovardhan,ushna,katu,digestive stimulant,increase,increase,decrease
ASC069,Vegetable stock,tikta,laghu/sheeta,sattvavardhan,sheeta,madhura,light nourishing,decrease,decrease,increase
ASC070,Chicken stock,katu,laghu/ushna,rajovardhan,ushna,katu,protein stimulant,increase,increase,decrease
ASC079,Clear tomato soup (Tamatar ka soup),amla/katu,laghu/ushna,sattvavardhan,sheeta,amla,light detoxifying,decrease,increase,decrease
ASC080,Lentil soup,madhura,guru/snigdha,sattvavardhan,sheeta,madhura,nourishing,decrease,neutral,increase
ASC081,Chicken consomme (Clear chicken soup),katu,laghu/ushna,rajovardhan,ushna,katu,light protein,increase,increase,decrease
ASC082,Cream of tomato soup,madhura,guru/snigdha,sattvavardhan,sheeta,madhura,light nourishing,decrease,neutral,increase
ASC083,Cream of green peas soup,madhura,guru/snigdha,sattvavardhan,sheeta,madhura,light nourishing,decrease,neutral,increase
ASC084,Cream of spinach soup,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura,light nourishing,decrease,neutral,increase
ASC085,Cream of mixed vegetable soup,madhura,guru/snigdha,sattvavardhan,sheeta,madhura,light nourishing,decrease,neutral,increase
ASC086,Cream of mushroom soup,tikta/madhura,guru/snigdha,sattvavardhan,sheeta,madhura,light nourishing,decrease,neutral,increase
ASC087,Chicken sweet corn soup,katu,laghu/ushna,rajovardhan,ushna,katu,light protein,increase,increase,decrease
ASC088,Minestrone soup,madhura,guru/snigdha,sattvavardhan,sheeta,madhura,light nourishing,decrease,neutral,increase
ASC089,Egg drop soup,madhura/katu,guru/snigdha,tamovardhan,sheeta,madhura,light protein,decrease,neutral,increase
ASC090,Chinese cabbage and meat ball soup,katu/madhura,laghu/snigdha,rajovardhan,sheeta,madhura,light protein,decrease,neutral,increase
ASC091,French onion soup,amla/katu,laghu/snigdha,sattvavardhan,sheeta,amla,digestive tonic,decrease,increase,decrease
ASC092,Hot and sour soup,katu/amla,laghu/ushna,rajovardhan,ushna,amla,digestive stimulant,increase,increase,decrease
ASC093,Talaumein soup,madhura/katu,laghu/snigdha,sattvavardhan,sheeta,madhura,light nourishing,decrease,neutral,increase
ASC094,Cold cucumber soup (Thanda kheere ka soup),sheeta/tikta,laghu/sheeta,sattvavardhan,sheeta,sheeta,cooling tonic,decrease,decrease,neutral
ASC095,Cold summer garden soup,madhura,laghu/snigdha,sattvavardhan,sheeta,madhura,refreshing tonic,decrease,neutral,increase
ASC096,Chapati/Roti,madhura,laghu/snigdha,sattvavardhan,sheeta,madhura,energy food,decrease,neutral,increase
ASC097,Plain parantha/paratha,madhura,guru/snigdha,sattvavardhan,sheeta,madhura,hearty food,decrease,neutral,increase
ASC098,Potato parantha/paratha (Aloo ka parantha/paratha),madhura/katu,guru/snigdha,rajovardhan,ushna,katu,hearty snack,increase,neutral,decrease
ASC099,Radish parantha/paratha (Mooli ka parantha/paratha),tikta,laghu/sheeta,sattvavardhan,sheeta,sheeta,light snack,decrease,decrease,neutral
ASC100,Cauliflower parantha/paratha (Phoolgobhi ka parantha/paratha),tikta/madhura,laghu/snigdha,sattvavardhan,sheeta,madhura,nutritious snack,decrease,neutral,increase
ASC101,Dal parantha/paratha,madhura,guru/snigdha,sattvavardhan,sheeta,madhura,nourishing food,decrease,neutral,increase
ASC102,Sprouted moong parantha/paratha,madhura,guru/snigdha,sattvavardhan,sheeta,madhura,protein rich,decrease,neutral,increase
ASC103,Pea parantha/paratha (Matar ka parantha/paratha),madhura/katu,laghu/snigdha,sattvavardhan,sheeta,madhura/katu,light nourishing,decrease,neutral,increase
ASC104,Keema parantha/paratha,katu,laghu/ushna,rajovardhan,ushna,katu,protein snack,increase,increase,decrease
ASC105,Paneer parantha/paratha,madhura,guru/snigdha,sattvavardhan,sheeta,madhura,hearty snack,decrease,neutral,increase
ASC106,Besan and spinach parantha/paratha,tikta/madhura,guru/snigdha,sattvavardhan,sheeta,madhura,nutritious food,decrease,neutral,increase
ASC107,Poori,madhura,laghu/snigdha,sattvavardhan,sheeta,madhura,light fried bread,decrease,neutral,increase
ASC108,Spinach poori (Palak poori),tikta/madhura,laghu/snigdha,sattvavardhan,sheeta,madhura,nutritious fried bread,decrease,neutral,increase
ASC109,Methi poori,tikta,laghu/snigdha,sattvavardhan,sheeta,sheeta,light fried bread,decrease,neutral,neutral
ASC110,Dal stuffed poori,madhura,guru/snigdha,sattvavardhan,sheeta,madhura,protein rich bread,decrease,neutral,increase
ASC111,Potato stuffed poori (Aloo ki poori),madhura/katu,guru/snigdha,rajovardhan,ushna,katu,hearty stuffed bread,increase,neutral,decrease
ASC112,Tandoori parantha/paratha,madhura/katu,guru/ushna,rajovardhan,ushna,katu,spicy stuffed bread,increase,increase,decrease
ASC113,Boiled rice (Uble chawal),madhura,laghu/snigdha,sattvavardhan,sheeta,madhura,light staple food,decrease,neutral,increase
ASC114,Plain pulao,madhura,laghu/snigdha,sattvavardhan,sheeta,madhura,simple staple food,decrease,neutral,increase
ASC115,Mixed vegetable pulao,madhura,guru/snigdha,sattvavardhan,sheeta,madhura,nutritious staple food,decrease,neutral,increase
ASC116,Mushroom pulao,tikta/madhura,guru/snigdha,sattvavardhan,sheeta,madhura,savory staple food,decrease,neutral,increase
ASC117,Sprouted moong pulao,madhura,guru/snigdha,sattvavardhan,sheeta,madhura,protein rich pulao,decrease,neutral,increase
ASC118,Paneer pulao,madhura,guru/snigdha,sattvavardhan,sheeta,madhura,rich protein pulao,decrease,neutral,increase
ASC119,Peanut pulao,madhura/katu,guru/snigdha,sattvavardhan,sheeta,katu,nutty pulao,decrease,neutral,increase
ASC120,Navratan pulao,madhura,guru/snigdha,sattvavardhan,sheeta,madhura,nutritious staple,decrease,neutral,increase
ASC121,Green chickpeas pulao (Choliya pulao/Hare chane ka pulao),madhura,guru/snigdha,sattvavardhan,sheeta,madhura,protein rich,decrease,neutral,increase
ASC122,Mutton biryani/biriyani,katu,laghu/ushna,rajovardhan,ushna,katu,hearty protein,increase,increase,decrease
ASC123,Vegetable biryani/biriyani,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,balanced nourishing,decrease,neutral,increase
ASC124,"Lemon rice (Pulihora, Elumichai sadam, Chitranna)",amla/katu,laghu/snigdha,rajovardhan,sheeta,amla/katu,refreshing detox,decrease,increase,decrease
ASC125,Sweet rice (Meethe chawal),madhura,guru/snigdha,sattvavardhan,sheeta,madhura,sweet nutritious,decrease,neutral,increase
ASC126,Curd rice (Dahi bhaat/Dahi chawal/ Perugu annam/Daddojanam/Thayir saadam),amla/madhura,guru/snigdha,sattvavardhan,sheeta,amla/madhura,cooling digestive,decrease,neutral,increase
ASC127,Tamarind rice (Chintapandu pulihora/Puliyodharai/Puli sadam/Huli anna),amla/katu,laghu/snigdha,rajovardhan,sheeta,amla/katu,digestive aid,decrease,increase,decrease
ASC128,Spanish rice,madhura,guru/snigdha,sattvavardhan,sheeta,madhura,sweet staple,decrease,neutral,increase
ASC129,Chinese fried rice,madhura/katu,guru/snigdha,rajovardhan,ushna,katu,savory fried rice,increase,increase,decrease
ASC133,Macroni cheese pie,madhura,guru/snigdha,sattvavardhan,sheeta,madhura,cheesy filling,decrease,neutral,increase
ASC134,Vegetable chowmein,tikta/madhura,laghu/snigdha,sattvavardhan,sheeta,madhura,savory snack,decrease,neutral,increase
ASC135,Chicken chowmein,katu,laghu/ushna,rajovardhan,ushna,katu,spicy protein,increase,increase,decrease
ASC136,Cheese noodle ring,madhura,guru/snigdha,sattvavardhan,sheeta,madhura,rich cheesy,decrease,neutral,increase
ASC137,Spaghetti and cheese balls in tomato sauce,madhura,guru/snigdha,sattvavardhan,sheeta,madhura,hearty pasta,decrease,neutral,increase
ASC138,Penne platter,madhura,guru/snigdha,sattvavardhan,sheeta,madhura,variety pasta,decrease,neutral,increase
ASC139,Pasta hot pot,madhura,guru/snigdha,sattvavardhan,sheeta,madhura,comforting pasta,decrease,neutral,increase
ASC140,Chicken lasagne,katu,laghu/ushna,rajovardhan,ushna,katu,protein rich pasta,increase,increase,decrease
ASC141,Fettuccine with spinach sauce,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura,light pasta,decrease,neutral,increase
ASC142,Naan,madhura,guru/snigdha,sattvavardhan,sheeta,madhura,staple bread,decrease,neutral,increase
ASC143,Bhatura,madhura/katu,guru/ushna,rajovardhan,ushna,katu,fried bread,increase,increase,decrease
ASC144,Idli,madhura,laghu/snigdha,sattvavardhan,sheeta,madhura,light staple,decrease,neutral,increase
ASC146,Masala dosa,katu,laghu/ushna,rajovardhan,ushna,katu,spicy staple,increase,increase,decrease
ASC147,Semolina dosa (Suji/Rava dosa),madhura,laghu/snigdha,sattvavardhan,sheeta,madhura,light staple,decrease,neutral,increase
ASC148,Onion tomato uttapam,katu/madhura,laghu/snigdha,rajovardhan,sheeta,katu,savory snack,increase,neutral,decrease
ASC149,Paneer kaathi roll,madhura,guru/snigdha,sattvavardhan,sheeta,madhura,spiced snack,decrease,neutral,increase
ASC150,Makki ki roti,madhura/katu,guru/snigdha,rajovardhan,sheeta,katu,corn bread,increase,neutral,decrease
ASC151,Washed moong dal (Dhuli moong ki dal),madhura,guru/snigdha,sattvavardhan,sheeta,madhura,protein rich dal,decrease,neutral,increase
ASC152,Washed urad dal (Dhuli urad ki dal),madhura,guru/snigdha,sattvavardhan,sheeta,madhura,protein rich dal,decrease,neutral,increase
ASC153,Split bengal gram with bottle gourd (Channa dal with ghiya/lauki),madhura/katu,guru/snigdha,rajovardhan,sheeta,madhura/katu,hearty dal,increase,neutral,decrease
ASC154,Dry washed urad,madhura,guru/snigdha,sattvavardhan,sheeta,katu,light dal,decrease,neutral,increase
ASC155,Mixed dal,madhura,guru/snigdha,sattvavardhan,sheeta,madhura,balanced dal,decrease,neutral,increase
ASC156,Whole moong (Moong ki dal),madhura,guru/snigdha,sattvavardhan,sheeta,madhura,nutritious dal,decrease,neutral,increase
ASC157,Whole masoor (Masoor ki dal),madhura/katu,guru/snigdha,rajovardhan,sheeta,katu,hearty dal,increase,neutral,decrease
ASC158,Whole moth (Moth ki dal),madhura,guru/snigdha,sattvavardhan,sheeta,madhura,nutritious dal,decrease,neutral,increase
ASC159,Whole urad (Urad ki dal),madhura,guru/snigdha,sattvavardhan,sheeta,madhura,protein rich dal,decrease,neutral,increase
ASC160,Moti mahal dal (Urad rajmah mix dal),madhura/katu,guru/snigdha,sattvavardhan,sheeta,katu,hearty dal,increase,neutral,decrease
ASC161,Black channa curry/Bengal gram curry (Kale chane ki curry),madhura/katu,guru/snigdha,rajovardhan,sheeta,katu,hearty curry,increase,neutral,decrease
ASC162,Chickpeas curry (Safed channa curry),madhura,guru/snigdha,sattvavardhan,sheeta,madhura,protein rich curry,decrease,neutral,increase
ASC163,Lobia curry,madhura/katu,guru/snigdha,rajovardhan,sheeta,katu,hearty curry,increase,neutral,decrease
ASC164,Soyabean curry,madhura,guru/snigdha,sattvavardhan,sheeta,madhura,nutritious curry,decrease,neutral,increase
ASC165,Kidney bean curry (Rajmah curry),madhura/katu,guru/snigdha,rajovardhan,sheeta,katu,hearty curry,increase,neutral,decrease
ASC167,Sambar,madhura,guru/snigdha,sattvavardhan,sheeta,madhura,thick lentil curry,decrease,neutral,increase
ASC168,Besan kadhi with pakodies,madhura/katu,guru/snigdha,rajovardhan,sheeta,katu,spicy lentil curry,increase,neutral,decrease
ASC169,Khatta channa,amla/katu,laghu/snigdha,rajovardhan,sheeta,amla/katu,sour curry,decrease,increase,decrease
ASC170,Sprouted moong dal chat,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,light protein snack,decrease,neutral,increase
ASC171,Potato cauliflower (Aloo gobhi),madhura/tikta,guru/snigdha,sattvavardhan,sheeta,madhura,nutritious veg,decrease,neutral,increase
ASC172,Potato capsicum (Shimla mirch aloo),madhura/katu,guru/snigdha,rajovardhan,ushna,katu,spicy snack,increase,increase,decrease
ASC173,Cabbage and peas (Pattagobhi aur matar),tikta/madhura,laghu/snigdha,sattvavardhan,sheeta,madhura,light veg,decrease,neutral,increase
ASC174,Carrot and fenugreek leaves (Gajar methi),tikta/madhura,laghu/ruksha,sattvavardhan,sheeta,madhura,nutritious combo,decrease,neutral,increase
ASC175,Potato fenugreek (Aloo methi),madhura/tikta,laghu/snigdha,sattvavardhan,sheeta,madhura,nutritious combo,decrease,neutral,increase
ASC177,Brinjal bhartha (Baingan ka bhartha),tikta/katu,laghu/ruksha,sattvavardhan,ushna,katu,spicy veg,increase,increase,decrease
ASC178,Dry potato (Sookhe aloo),madhura,laghu/ruksha,sattvavardhan,sheeta,madhura,light veg,decrease,neutral,increase
ASC179,Beans with coconut (Nariyal aur sem/phali; Beans thoran),tikta/madhura,laghu/snigdha,sattvavardhan,sheeta,madhura,nutritious beans,decrease,neutral,increase
ASC180,Cauliflower with coconut (Nariyal ke saath phoolgobhi),tikta/madhura,laghu/snigdha,sattvavardhan,sheeta,madhura,nutritious veg,decrease,neutral,increase
ASC181,Carrot and cabbage with coconut,tikta/madhura,laghu/snigdha,sattvavardhan,sheeta,madhura,nutritious combo,decrease,neutral,increase
ASC182,Raw turnip with coconut,tikta/madhura,laghu/snigdha,sattvavardhan,sheeta,madhura,nutritious combo,decrease,neutral,increase
ASC183,Raw papaya with coconut (Papaya thoran),tikta/madhura,laghu/snigdha,sattvavardhan,sheeta,madhura,nutritious combo,decrease,neutral,increase
ASC184,Stuffed okra (Bharwa bhindi),tikta/katu,laghu/snigdha,rajovardhan,ushna,katu,spicy veg,increase,increase,decrease
ASC185,Stuffed round gourd (Bharwa tinde),tikta/madhura,laghu/snigdha,sattvavardhan,sheeta,madhura,light veg,decrease,neutral,increase
ASC186,Stuffed capsicum (Bharwa shimla mirch),tikta/katu,laghu/snigdha,rajovardhan,ushna,katu,spicy veg,increase,increase,decrease
ASC187,Stuffed brinjal (Bharwa baingan),tikta/katu,laghu/snigdha,rajovardhan,ushna,katu,spicy veg,increase,increase,decrease
ASC189,Stuffed tomatoes (Bharwa tamatar),amla/katu,laghu/snigdha,rajovardhan,sheeta,amla,spicy filling,decrease,increase,decrease
ASC190,Pea potato curry (Aloo matar),madhura/katu,guru/snigdha,rajovardhan,sheeta,madhura,nutritious curry,decrease,neutral,increase
ASC191,Pea paneer curry (Matar paneer),madhura,guru/snigdha,sattvavardhan,sheeta,madhura,protein curry,decrease,neutral,increase
ASC192,Pea mushroom curry (Matar mushroom),tikta/madhura,guru/snigdha,sattvavardhan,sheeta,madhura,nutritious curry,decrease,neutral,increase
ASC193,Pea curry (Matar ki sabzi),madhura/katu,guru/snigdha,rajovardhan,sheeta,madhura,nutritious veg,decrease,neutral,increase
ASC194,Pea vadi curry,madhura/katu,guru/snigdha,rajovardhan,ushna,katu,hearty curry,increase,neutral,decrease
ASC195,Paneer curry,madhura,guru/snigdha,sattvavardhan,sheeta,madhura,protein rich,decrease,neutral,increase
ASC196,Lotus stem curry (Kamal kakdi curry),tikta/madhura,guru/snigdha,sattvavardhan,sheeta,madhura,fibrous veg,decrease,neutral,increase
ASC197,Gravy for kofta,madhura,laghu/snigdha,sattvavardhan,sheeta,madhura,light gravy,decrease,neutral,increase
ASC198,Pea kofta curry (Matar kofta curry),madhura/katu,guru/snigdha,rajovardhan,ushna,katu,hearty curry,increase,neutral,decrease
ASC199,Spinach kofta curry (Palak kofta curry),tikta/madhura,guru/snigdha,sattvavardhan,sheeta,madhura,green veg curry,decrease,neutral,increase
ASC200,Paneer kofta curry,madhura,guru/snigdha,sattvavardhan,sheeta,madhura,hearty protein curry,decrease,neutral,increase
ASC201,Lotus stem kofta curry (Kamal kakdi kofta curry),tikta/madhura,guru/snigdha,sattvavardhan,sheeta,madhura,fibrous curry,decrease,neutral,increase
ASC202,Raw banana kofta curry (Kela kofta curry),madhura,guru/snigdha,sattvavardhan,sheeta,madhura,fibrous curry,decrease,neutral,increase
ASC203,Cauliflower kofta curry (Phoolgobhi kofta curry),tikta/madhura,guru/snigdha,sattvavardhan,sheeta,madhura,fibrous curry,decrease,neutral,increase
ASC204,Cabbage kofta curry (Pattagobhi kofta curry),tikta/madhura,guru/snigdha,sattvavardhan,sheeta,madhura,fibrous curry,decrease,neutral,increase
ASC205,Ghiya/Lauki Kofta Curry,madhura,guru/snigdha,sattvavardhan,sheeta,madhura,fibrous curry,decrease,neutral,increase
ASC206,Spinach paneer kofta curry (Palak paneer kofta curry),tikta/madhura,guru/snigdha,sattvavardhan,sheeta,madhura,green protein curry,decrease,neutral,increase
ASC207,Vegetarian egg kofta curry,madhura,guru/snigdha,sattvavardhan,sheeta,madhura,protein veg curry,decrease,neutral,increase
ASC208,Baked vegetables,madhura/tikta,laghu/snigdha,sattvavardhan,sheeta,madhura,healthy veg,decrease,neutral,increase
ASC209,Cauliflower musallam (Phoolgobhi musallam),tikta/madhura,guru/snigdha,sattvavardhan,sheeta,madhura,green veg,decrease,neutral,increase
ASC210,Baked vegetables with spinach,tikta/madhura,laghu/snigdha,sattvavardhan,sheeta,madhura,healthy mix,decrease,neutral,increase
ASC211,Baked potato with skin,madhura/katu,laghu/ruksha,sattvavardhan,sheeta,madhura,hearty veg,decrease,neutral,increase
ASC212,Shepherd's pie (vegetarian),madhura,guru/snigdha,sattvavardhan,sheeta,madhura,hearty veg pie,decrease,neutral,increase
ASC213,Baked brinjal in tomato sauce,amla/katu,laghu/snigdha,rajovardhan,sheeta,amla,spicy bake,decrease,increase,decrease
ASC214,Dum aloo,madhura/katu,guru/snigdha,rajovardhan,ushna,katu,hearty veg,increase,neutral,decrease
ASC215,Spinach paneer (Palak paneer),tikta/madhura,guru/snigdha,sattvavardhan,sheeta,madhura,nutritious combo,decrease,neutral,increase
ASC216,Methi chaman,tikta/madhura,laghu/snigdha,sattvavardhan,sheeta,madhura,nutritious paneer,decrease,neutral,increase
ASC217,Sarson ka saag,tikta/katu,laghu/ruksha,sattvavardhan,ushna,katu,spicy greens,increase,increase,decrease
ASC218,Jackfruit sabzi (Kathal ki sabzi),madhura/katu,guru/snigdha,rajovardhan,sheeta,madhura,fibrous veg,decrease,neutral,increase
ASC219,Avial,madhura/tikta,laghu/snigdha,sattvavardhan,sheeta,madhura,mixed veg curry,decrease,neutral,increase
ASC220,Al yakhani,madhura,guru/snigdha,sattvavardhan,sheeta,madhura,hearty curry,decrease,neutral,increase
ASC221,Shahi paneer,madhura,guru/snigdha,sattvavardhan,sheeta,madhura,rich protein,decrease,neutral,increase
ASC222,Paneer in butter sauce,madhura,guru/snigdha,sattvavardhan,sheeta,madhura,rich fat protein,decrease,neutral,increase
ASC223,Methi malai paneer,tikta/madhura,guru/snigdha,sattvavardhan,sheeta,madhura,fatty paneer,decrease,neutral,increase
ASC224,Chilli paneer,katu/madhura,laghu/snigdha,rajovardhan,ushna,katu,spicy paneer,increase,increase,decrease
ASC225,Paneer makhana korma,madhura,guru/snigdha,sattvavardhan,sheeta,madhura,hearty curry,decrease,neutral,increase
ASC226,Kadhai Paneer,katu/madhura,laghu/snigdha,rajovardhan,ushna,katu,spicy curry,increase,increase,decrease
ASC227,Roghan josh,katu,laghu/ushna,rajovardhan,ushna,katu,spicy mutton,increase,increase,decrease
ASC228,Spinach mutton (Palak mutton),tikta/katu,laghu/ushna,rajovardhan,ushna,katu,spicy protein,increase,increase,decrease
